   dist Pb       Pn       P        Pdiff    PKPdf    PKPbc    PKPab   
   1.00    18.62    18.87     0.00     0.00     0.00     0.00     0.00
   2.00    35.67    32.63     0.00     0.00     0.00     0.00     0.00
   3.00    52.72    46.38     0.00     0.00     0.00     0.00     0.00
   4.00    69.77    60.13     0.00     0.00     0.00     0.00     0.00
   5.00    86.81    73.87     0.00     0.00     0.00     0.00     0.00
   6.00   103.85    87.61     0.00     0.00     0.00     0.00     0.00
   7.00   120.88   101.34     0.00     0.00     0.00     0.00     0.00
   8.00   137.89   115.07     0.00     0.00     0.00     0.00     0.00
   9.00     0.00   128.78     0.00     0.00     0.00     0.00     0.00
  10.00     0.00   142.49     0.00     0.00     0.00     0.00     0.00
  11.00     0.00   156.18     0.00     0.00     0.00     0.00     0.00
  12.00     0.00   169.86     0.00     0.00     0.00     0.00     0.00
  13.00     0.00   183.52     0.00     0.00     0.00     0.00     0.00
  14.00     0.00   197.17   204.99     0.00     0.00     0.00     0.00
  15.00     0.00   210.97   216.10     0.00     0.00     0.00     0.00
  16.00     0.00   224.50   227.21     0.00     0.00     0.00     0.00
  17.00     0.00   238.04   238.29     0.00     0.00     0.00     0.00
  18.00     0.00   248.94   258.06     0.00     0.00     0.00     0.00
  19.00     0.00   261.11   267.30     0.00     0.00     0.00     0.00
  20.00     0.00   273.05   276.53     0.00     0.00     0.00     0.00
  21.00     0.00   284.76   285.75     0.00     0.00     0.00     0.00
  22.00     0.00     0.00   294.95     0.00     0.00     0.00     0.00
  23.00     0.00     0.00   304.13     0.00     0.00     0.00     0.00
  24.00     0.00     0.00   313.95     0.00     0.00     0.00     0.00
  25.00     0.00     0.00   324.29     0.00     0.00     0.00     0.00
  26.00     0.00     0.00   334.48     0.00     0.00     0.00     0.00
  27.00     0.00     0.00   344.51     0.00     0.00     0.00     0.00
  28.00     0.00     0.00   349.45     0.00     0.00     0.00     0.00
  29.00     0.00     0.00   358.36     0.00     0.00     0.00     0.00
  30.00     0.00     0.00   367.22     0.00     0.00     0.00     0.00
  31.00     0.00     0.00   376.04     0.00     0.00     0.00     0.00
  32.00     0.00     0.00   384.83     0.00     0.00     0.00     0.00
  33.00     0.00     0.00   393.57     0.00     0.00     0.00     0.00
  34.00     0.00     0.00   402.26     0.00     0.00     0.00     0.00
  35.00     0.00     0.00   410.90     0.00     0.00     0.00     0.00
  36.00     0.00     0.00   419.48     0.00     0.00     0.00     0.00
  37.00     0.00     0.00   428.00     0.00     0.00     0.00     0.00
  38.00     0.00     0.00   436.47     0.00     0.00     0.00     0.00
  39.00     0.00     0.00   444.86     0.00     0.00     0.00     0.00
  40.00     0.00     0.00   453.20     0.00     0.00     0.00     0.00
  41.00     0.00     0.00   461.46     0.00     0.00     0.00     0.00
  42.00     0.00     0.00   469.66     0.00     0.00     0.00     0.00
  43.00     0.00     0.00   477.79     0.00     0.00     0.00     0.00
  44.00     0.00     0.00   485.85     0.00     0.00     0.00     0.00
  45.00     0.00     0.00   493.84     0.00     0.00     0.00     0.00
  46.00     0.00     0.00   501.76     0.00     0.00     0.00     0.00
  47.00     0.00     0.00   509.61     0.00     0.00     0.00     0.00
  48.00     0.00     0.00   517.38     0.00     0.00     0.00     0.00
  49.00     0.00     0.00   525.09     0.00     0.00     0.00     0.00
  50.00     0.00     0.00   532.72     0.00     0.00     0.00     0.00
  51.00     0.00     0.00   540.28     0.00     0.00     0.00     0.00
  52.00     0.00     0.00   547.77     0.00     0.00     0.00     0.00
  53.00     0.00     0.00   555.19     0.00     0.00     0.00     0.00
  54.00     0.00     0.00   562.53     0.00     0.00     0.00     0.00
  55.00     0.00     0.00   569.80     0.00     0.00     0.00     0.00
  56.00     0.00     0.00   577.00     0.00     0.00     0.00     0.00
  57.00     0.00     0.00   584.13     0.00     0.00     0.00     0.00
  58.00     0.00     0.00   591.18     0.00     0.00     0.00     0.00
  59.00     0.00     0.00   598.16     0.00     0.00     0.00     0.00
  60.00     0.00     0.00   605.07     0.00     0.00     0.00     0.00
  61.00     0.00     0.00   611.91     0.00     0.00     0.00     0.00
  62.00     0.00     0.00   618.67     0.00     0.00     0.00     0.00
  63.00     0.00     0.00   625.37     0.00     0.00     0.00     0.00
  64.00     0.00     0.00   631.98     0.00     0.00     0.00     0.00
  65.00     0.00     0.00   638.53     0.00     0.00     0.00     0.00
  66.00     0.00     0.00   645.00     0.00     0.00     0.00     0.00
  67.00     0.00     0.00   651.40     0.00     0.00     0.00     0.00
  68.00     0.00     0.00   657.73     0.00     0.00     0.00     0.00
  69.00     0.00     0.00   663.99     0.00     0.00     0.00     0.00
  70.00     0.00     0.00   670.17     0.00     0.00     0.00     0.00
  71.00     0.00     0.00   676.28     0.00     0.00     0.00     0.00
  72.00     0.00     0.00   682.31     0.00     0.00     0.00     0.00
  73.00     0.00     0.00   688.27     0.00     0.00     0.00     0.00
  74.00     0.00     0.00   694.16     0.00     0.00     0.00     0.00
  75.00     0.00     0.00   699.98     0.00     0.00     0.00     0.00
  76.00     0.00     0.00   705.72     0.00     0.00     0.00     0.00
  77.00     0.00     0.00   711.38     0.00     0.00     0.00     0.00
  78.00     0.00     0.00   716.97     0.00     0.00     0.00     0.00
  79.00     0.00     0.00   722.48     0.00     0.00     0.00     0.00
  80.00     0.00     0.00   727.92     0.00     0.00     0.00     0.00
  81.00     0.00     0.00   733.28     0.00     0.00     0.00     0.00
  82.00     0.00     0.00   738.57     0.00     0.00     0.00     0.00
  83.00     0.00     0.00   743.78     0.00     0.00     0.00     0.00
  84.00     0.00     0.00   748.91     0.00     0.00     0.00     0.00
  85.00     0.00     0.00   753.95     0.00     0.00     0.00     0.00
  86.00     0.00     0.00   758.93     0.00     0.00     0.00     0.00
  87.00     0.00     0.00   763.83     0.00     0.00     0.00     0.00
  88.00     0.00     0.00   768.61     0.00     0.00     0.00     0.00
  89.00     0.00     0.00   773.33     0.00     0.00     0.00     0.00
  90.00     0.00     0.00   778.00     0.00     0.00     0.00     0.00
